stage,source_or_action,count,detail
identification,Database records,271,Web of Science 115; Scopus 156
identification,Cross-database duplicates removed,101,Title-normalized matching across the two database exports
identification,Unique database records,170,271 minus 101
identification,Other methods,134,Prior review set plus backward snowballing
screening,Candidate records / reports,304,170 plus 134
screening,Cross-source duplicates removed,173,SHA-256 hash; DOI; normalized-title similarity
screening,Reports assessed for eligibility,131,304 minus 173
screening,Reports excluded,23,Surveys or methodology 13; pre-2021 anchors 3; arXiv-only 1; out of scope 6
included,Studies included in the quantitative corpus,108,Peer-reviewed protocol-level corpus published 2021-2026
