check,status,timeout_s,exit_code,source,log
honest_completion_witness,PASS,30,0,M1_honest_completion_witness.pv,M1_corrected_honest_completion_witness_proverif205.log
secrecy,PASS,60,0,M1_corrected_secrecy.pv,M1_corrected_secrecy_proverif205.log
responder_injective_agreement,PASS,90,0,M1_corrected_responder_injective_agreement.pv,M1_corrected_responder_injective_agreement_proverif205.log
initiator_injective_agreement,TIMEOUT,120,TIMEOUT,M1_corrected_initiator_injective_agreement.pv,M1_corrected_initiator_injective_agreement_proverif205.log
