category,operation,rounds,inner_iterations,mean_us,std_us,median_us,min_us,max_us
crypto,SHA-256 (256 B),30,2000,1.1475633333333333,0.04326604731859281,1.134,1.0714000000000001,1.24785
crypto,HMAC-SHA256 (256 B),30,2000,1.6819283333333335,0.06559930703394158,1.658925,1.5903,1.81945
crypto,AES-128-GCM encrypt (256 B),30,2000,0.6038766666666666,0.03575465904855144,0.5902499999999999,0.5640499999999999,0.7129500000000001
crypto,AES-128-GCM decrypt (256 B),30,2000,0.6414383333333333,0.1044905206749375,0.6163000000000001,0.5779500000000001,1.15825
crypto,ECDSA-P256 sign,30,300,19.53642222222222,1.012828866919476,19.181,18.342666666666666,22.282
crypto,ECDSA-P256 verify,30,300,50.63012222222222,1.997664696902759,50.045,48.348,55.43966666666667
crypto,ECDH-P256 shared secret,30,300,37.75326666666667,1.4113007244616218,37.51533333333333,35.82066666666667,40.754
crypto,ECC-P256 key generation,30,80,12.633875,1.295566434751012,12.211875,11.62125,17.05125
crypto,X25519 shared secret,30,600,23.085583333333332,0.9096733590749636,22.811833333333333,22.013,26.02133333333333
crypto,RSA-2048 sign,30,50,421.6202666666667,13.388873102726741,422.289,400.258,453.43
crypto,RSA-2048 verify,30,300,17.18448888888889,1.1057768051393393,16.947833333333335,15.985333333333333,19.846
hash_path,Merkle-style hash-path lookup N=1,30,1000,0.8450766666666667,0.05408100363365115,0.8204500000000001,0.7902,0.9687
hash_path,Merkle-style hash-path update N=1,30,1000,2.15457,0.07674269211529819,2.13905,2.0382000000000002,2.3436
hash_path,Merkle-style hash-path lookup N=10,30,1000,2.6354966666666666,0.10487973566911288,2.63185,2.4932,2.9688000000000003
hash_path,Merkle-style hash-path update N=10,30,1000,4.0628866666666665,0.31164334802433397,3.9673499999999997,3.8049,5.4412
hash_path,Merkle-style hash-path lookup N=50,30,1000,3.9020133333333336,0.20287031654072346,3.871,3.634,4.3201
hash_path,Merkle-style hash-path update N=50,30,1000,5.32841,0.2838169715588332,5.2959499999999995,4.9498999999999995,6.2814
hash_path,Merkle-style hash-path lookup N=100,30,1000,4.463183333333333,0.19197638698787803,4.44365,4.1985,4.9554
hash_path,Merkle-style hash-path update N=100,30,1000,6.06684,0.8446546687133802,5.8906,5.5738,10.372399999999999
hash_path,Merkle-style hash-path lookup N=200,30,1000,5.16752,0.6438802825113505,5.0467,4.7738000000000005,8.4336
hash_path,Merkle-style hash-path update N=200,30,1000,6.653283333333333,0.5619119983151941,6.483750000000001,6.183,8.5707
hash_path,Merkle-style hash-path lookup N=500,30,1000,5.7612966666666665,0.49192618137230737,5.632099999999999,5.353800000000001,7.3678
hash_path,Merkle-style hash-path update N=500,30,1000,7.2128033333333335,0.4132413526085539,7.13385,6.696899999999999,8.9231
hash_path,Merkle-style hash-path lookup N=1000,30,1000,6.234393333333333,0.23368690213592422,6.2194,5.926699999999999,6.7073
hash_path,Merkle-style hash-path update N=1000,30,1000,7.834383333333333,0.4345338382786724,7.65845,7.3751999999999995,9.2136
