round,category,operation,inner_iterations,mean_us
5,crypto,ECC-P256 key generation,80,11.6775
5,crypto,X25519 shared secret,600,22.523
5,crypto,RSA-2048 sign,50,410.384
5,crypto,RSA-2048 verify,300,17.102666666666668
5,hash_path,Merkle-style hash-path lookup N=1,1000,0.8314
5,hash_path,Merkle-style hash-path update N=1,1000,2.1477
5,hash_path,Merkle-style hash-path lookup N=10,1000,2.6383
5,hash_path,Merkle-style hash-path update N=10,1000,3.9406999999999996
5,hash_path,Merkle-style hash-path lookup N=50,1000,3.6912
5,hash_path,Merkle-style hash-path update N=50,1000,5.1079
5,hash_path,Merkle-style hash-path lookup N=100,1000,4.531
5,hash_path,Merkle-style hash-path update N=100,1000,5.6543
5,hash_path,Merkle-style hash-path lookup N=200,1000,5.007899999999999
5,hash_path,Merkle-style hash-path update N=200,1000,6.4341
5,hash_path,Merkle-style hash-path lookup N=500,1000,5.3685
5,hash_path,Merkle-style hash-path update N=500,1000,7.113
5,hash_path,Merkle-style hash-path lookup N=1000,1000,6.3426
5,hash_path,Merkle-style hash-path update N=1000,1000,7.549
6,crypto,SHA-256 (256 B),2000,1.1158
6,crypto,HMAC-SHA256 (256 B),2000,1.72475
6,crypto,AES-128-GCM encrypt (256 B),2000,0.5837
6,crypto,AES-128-GCM decrypt (256 B),2000,0.60335
6,crypto,ECDSA-P256 sign,300,18.810333333333332
6,crypto,ECDSA-P256 verify,300,49.55766666666666
6,crypto,ECDH-P256 shared secret,300,36.66433333333334
6,crypto,ECC-P256 key generation,80,14.98
6,crypto,X25519 shared secret,600,22.3005
6,crypto,RSA-2048 sign,50,405.968
6,crypto,RSA-2048 verify,300,17.76366666666667
6,hash_path,Merkle-style hash-path lookup N=1,1000,0.915
6,hash_path,Merkle-style hash-path update N=1,1000,2.1147
6,hash_path,Merkle-style hash-path lookup N=10,1000,2.6542
6,hash_path,Merkle-style hash-path update N=10,1000,3.9795
6,hash_path,Merkle-style hash-path lookup N=50,1000,4.0364
