paper_id,ref_number,case_name,primary_family,deployment_crosscutting_facets,distinguishing_structure,selection_basis,paper_location_used,tools,reported_status_boundary
P102,47,CCAP,Ledger-mediated trust,ledger-present,ledger validation,Purposive selection based on printed-flow extractability and coverage of distinct secondary structures; not a representative sample.,Sections V-C.1 to V-C.3,ProVerif,"PASS and INCONCLUSIVE, query-specific"
P136,55,CL-BASA,Ledger-mediated trust,ledger-present,ledger-mediated acceptance with certificateless key material,Purposive selection based on printed-flow extractability and coverage of distinct secondary structures; not a representative sample.,Section 5.2.2 and Figures 3/5/6/7,ProVerif and Scyther,"PASS and ATTACK (model-level), query-specific"
P162,77,BCAE,Ledger-mediated trust,ledger-present; edge/fog-mediated; privacy/anonymity-layer,ledger-mediated acceptance with edge/fog and privacy facets,Purposive selection based on printed-flow extractability and coverage of distinct secondary structures; not a representative sample.,"Algorithms 1, 3, and 4",ProVerif,"PASS and ATTACK (model-level), query-specific"
